InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales
INV1590,P1036,Switchable impactful complexity,12,2023-03-01,60.23,C129,Ghana,722.76
INV1671,P913,Down-sized holistic initiative,4,2023-03-02,54.71,C132,Ghana,218.84
INV1361,P1069,Programmable responsive neural-net,6,2023-03-03,42.75,C118,Nigeria,256.5
INV1130,P267,Integrated maximized benchmark,22,2023-03-03,10.98,C191,Ghana,241.56
INV1548,P455,Assimilated impactful archive,31,2023-03-04,11.12,C181,Kenya,344.71999999999997
INV1926,P356,Adaptive 5thgeneration installation,48,2023-03-04,45.13,C164,South Africa,2166.2400000000002
INV1477,P1036,Multi-tiered optimizing protocol,39,2023-03-05,90.74,C195,South Africa,3538.8599999999997
INV1910,P752,Persistent mission-critical encryption,12,2023-03-05,87.06,C133,Ghana,1044.72
INV1389,P394,Switchable solution-oriented extranet,23,2023-03-05,39.01,C168,South Africa,897.2299999999999
INV1224,P531,Universal responsive productivity,19,2023-03-07,56.12,C180,Nigeria,1066.28
INV1497,P903,Operative executive superstructure,16,2023-03-08,88.03,C133,Nigeria,1408.48
INV1168,P1011,Optimized grid-enabled methodology,22,2023-03-09,4.25,C134,South Africa,93.5
INV1982,P579,Function-based 4thgeneration Internet solution,47,2023-03-10,79.0,C121,South Africa,3713.0
INV1124,P1041,Multi-lateral intermediate emulation,23,2023-03-11,23.51,C163,Nigeria,540.73
INV1768,P336,Multi-tiered motivating support,50,2023-03-11,26.17,C145,Ghana,1308.5
INV1027,P865,Business-focused well-modulated hardware,44,2023-03-12,96.83,C102,Ghana,4260.5199999999995
INV1298,P885,Intuitive stable orchestration,49,2023-03-12,9.94,C154,South Africa,487.06
INV1102,P273,Reactive web-enabled superstructure,1,2023-03-14,21.25,C131,Ethiopia,21.25
INV1005,P450,Versatile stable initiative,21,2023-03-14,85.23,C154,Ethiopia,1789.8300000000002
INV1121,P994,Ergonomic foreground interface,34,2023-03-16,82.85,C169,Nigeria,2816.8999999999996
INV1684,P508,Fully-configurable empowering project,45,2023-03-16,73.8,C145,Uganda,3321.0
INV1801,P841,Cloned zero tolerance data-warehouse,37,2023-03-17,16.77,C135,Nigeria,620.49
INV1810,P543,Proactive tangible emulation,46,2023-03-17,65.4,C184,South Africa,3008.4
INV1409,P282,Configurable eco-centric knowledge user,13,2023-03-18,59.32,C110,Nigeria,771.16
INV1386,P935,Customizable multimedia intranet,32,2023-03-18,99.04,C154,Ghana,3169.28
INV1495,P551,User-friendly object-oriented approach,5,2023-03-18,96.17,C164,Ghana,480.85
INV1817,P592,Multi-layered homogeneous Local Area Network,40,2023-03-18,87.02,C114,South Africa,3480.7999999999997
INV1229,P1099,Fundamental object-oriented benchmark,6,2023-03-20,80.88,C129,Ghana,485.28
INV1747,P871,Face-to-face zero administration challenge,36,2023-03-21,56.26,C111,Nigeria,2025.36
INV1284,P207,Distributed eco-centric standardization,37,2023-03-21,27.1,C200,Ghana,1002.7
INV1941,P821,Balanced impactful neural-net,14,2023-03-22,62.1,C168,Egypt,869.4
INV1967,P991,Intuitive next generation focus group,26,2023-03-22,82.36,C109,Ethiopia,2141.36
INV1152,P638,Synchronized discrete synergy,39,2023-03-22,31.83,C158,Egypt,1241.37
INV1878,P603,Face-to-face heuristic encryption,48,2023-03-25,30.23,C130,Ethiopia,1451.04
INV1143,P471,Implemented optimizing algorithm,39,2023-03-26,11.32,C150,Kenya,441.48
INV1150,P964,Intuitive multi-state function,13,2023-03-27,83.91,C197,Nigeria,1090.83
INV1065,P280,Profound user-facing service-desk,2,2023-03-28,75.3,C118,Kenya,150.6
INV1378,P665,Mandatory coherent benchmark,25,2023-03-28,54.3,C187,Egypt,1357.5
INV1489,P359,Ergonomic contextually-based circuit,28,2023-03-28,24.63,C191,Ghana,689.64
INV1916,P999,Balanced transitional throughput,26,2023-03-29,21.41,C169,Rwanda,556.66
INV1307,P448,Fully-configurable disintermediate benchmark,35,2023-03-30,40.27,C115,Nigeria,1409.45
INV1177,P741,Open-source web-enabled focus group,44,2023-03-30,22.79,C146,Nigeria,1002.76
INV1048,P544,Extended tangible definition,9,2023-03-30,12.55,C128,Egypt,112.95
INV1983,P270,Enhanced leadingedge groupware,22,2023-03-31,86.6,C114,Kenya,1905.1999999999998
INV1549,P882,Adaptive user-facing architecture,46,2023-03-31,85.57,C185,Nigeria,3936.22
INV1864,P598,Up-sized coherent throughput,4,2023-03-31,67.34,C174,Kenya,269.36
INV1754,P997,Multi-tiered discrete application,28,2023-04-01,64.36,C114,Uganda,1802.08
INV1008,P954,Switchable 3rdgeneration hardware,23,2023-04-02,6.51,C174,Egypt,149.73
INV1434,P409,Progressive intangible neural-net,15,2023-04-03,4.64,C140,Egypt,69.6
INV1648,P936,Virtual bi-directional info-mediaries,7,2023-04-03,66.42,C120,South Africa,464.94
INV1890,P251,Exclusive 4thgeneration focus group,25,2023-04-04,52.0,C179,Rwanda,1300.0
INV1449,P209,De-engineered zero-defect firmware,35,2023-04-04,62.67,C121,Kenya,2193.4500000000003
INV1504,P1066,Adaptive empowering productivity,33,2023-04-05,75.91,C186,Ghana,2505.0299999999997
INV1365,P697,Mandatory tertiary strategy,24,2023-04-06,46.06,C154,Egypt,1105.44
INV1820,P923,Horizontal client-driven archive,28,2023-04-06,65.26,C101,Morocco,1827.2800000000002
INV1469,P920,Fully-configurable 24/7 methodology,34,2023-04-07,53.73,C175,Uganda,1826.82
INV1380,P633,Reactive neutral functionalities,31,2023-04-08,74.05,C198,Tanzania,2295.5499999999997
INV1852,P965,Vision-oriented discrete analyzer,15,2023-04-09,43.66,C156,Kenya,654.9
INV1915,P270,Assimilated directional emulation,14,2023-04-10,23.79,C143,Morocco,333.06
INV1872,P1060,Cross-platform upward-trending architecture,34,2023-04-10,82.49,C170,Kenya,2804.66
INV1599,P224,Multi-layered web-enabled software,49,2023-04-13,43.89,C122,Morocco,2150.61
INV1050,P294,Synchronized 5thgeneration structure,2,2023-04-13,61.0,C113,Ethiopia,122.0
INV1789,P686,Balanced impactful collaboration,1,2023-04-14,83.26,C111,Morocco,83.26
INV1690,P493,Sharable disintermediate website,8,2023-04-14,3.91,C107,South Africa,31.28
INV1836,P912,Progressive well-modulated methodology,47,2023-04-14,54.69,C160,South Africa,2570.43
INV1011,P958,Right-sized national neural-net,24,2023-04-15,2.81,C184,Nigeria,67.44
INV1471,P826,Customizable modular website,48,2023-04-15,11.84,C175,Nigeria,568.3199999999999
INV1243,P270,Team-oriented impactful data-warehouse,33,2023-04-16,91.15,C158,Nigeria,3007.9500000000003
INV1012,P758,Phased demand-driven Local Area Network,36,2023-04-16,70.0,C109,Nigeria,2520.0
INV1742,P593,Programmable next generation concept,50,2023-04-17,53.82,C149,Ethiopia,2691.0
INV1355,P867,Advanced impactful analyzer,17,2023-04-17,47.85,C145,Ethiopia,813.45
INV1809,P478,Managed asynchronous productivity,9,2023-04-18,11.8,C194,Tanzania,106.2
INV1417,P440,Function-based discrete application,16,2023-04-19,80.0,C175,South Africa,1280.0
INV1772,P743,Up-sized intangible algorithm,1,2023-04-21,13.45,C147,Nigeria,13.45
INV1415,P891,Decentralized system-worthy utilization,8,2023-04-22,13.32,C195,Kenya,106.56
INV1679,P893,Cloned incremental capacity,10,2023-04-24,18.25,C151,Kenya,182.5
INV1097,P886,Decentralized 6thgeneration challenge,1,2023-04-26,99.77,C153,Ghana,99.77
INV1180,P1081,Fully-configurable encompassing hub,11,2023-04-29,97.58,C198,Uganda,1073.3799999999999
INV1881,P878,Future-proofed full-range middleware,23,2023-04-29,91.86,C105,Ethiopia,2112.78
INV1248,P331,Down-sized methodical conglomeration,3,2023-04-29,4.39,C171,Nigeria,13.169999999999998
INV1215,P356,Vision-oriented systemic moratorium,49,2023-05-01,41.39,C199,Tanzania,2028.1100000000001
INV1433,P467,Extended even-keeled software,6,2023-05-03,39.02,C136,Nigeria,234.12
INV1287,P846,Customer-focused 6thgeneration initiative,41,2023-05-03,25.82,C110,Morocco,1058.6200000000001
INV1191,P548,Inverse systemic portal,6,2023-05-03,35.59,C176,Uganda,213.54000000000002
INV1423,P808,Managed national superstructure,34,2023-05-04,90.47,C196,Tanzania,3075.98
INV1956,P606,Proactive fault-tolerant functionalities,38,2023-05-04,99.55,C127,South Africa,3782.9
INV1475,P208,Multi-layered fresh-thinking matrix,1,2023-05-05,88.41,C111,Kenya,88.41
INV1510,P483,Devolved interactive project,36,2023-05-06,12.47,C123,Kenya,448.92
INV1053,P567,Pre-emptive interactive ability,47,2023-05-07,85.22,C154,Nigeria,4005.34
INV1208,P840,Total motivating solution,39,2023-05-10,27.96,C112,Kenya,1090.44
INV1964,P448,Self-enabling impactful knowledge user,17,2023-05-10,17.88,C146,Tanzania,303.96
INV1722,P517,Universal executive groupware,31,2023-05-11,1.89,C170,Kenya,58.589999999999996
INV1503,P457,Universal holistic forecast,36,2023-05-12,56.06,C171,Kenya,2018.16
INV1392,P259,Open-architected explicit architecture,42,2023-05-14,1.94,C195,South Africa,81.48
INV1481,P306,User-friendly radical service-desk,3,2023-05-14,86.58,C153,Egypt,259.74
INV1662,P327,De-engineered uniform encryption,8,2023-05-14,47.55,C187,Ghana,380.4
INV1003,P959,Advanced regional secured line,43,2023-05-16,37.17,C128,South Africa,1598.3100000000002
INV1108,P450,Optional hybrid adapter,8,2023-05-16,38.5,C122,Nigeria,308.0
INV1023,P227,Multi-layered systemic process improvement,21,2023-05-17,53.97,C135,Ghana,1133.37
INV1382,P948,Sharable asynchronous success,40,2023-05-17,43.25,C181,Ghana,1730.0
INV1411,P390,Progressive asynchronous interface,36,2023-05-20,91.12,C114,Ghana,3280.32
INV1694,P793,Cross-group leadingedge hierarchy,3,2023-05-20,79.5,C172,South Africa,238.5
INV1017,P230,Compatible methodical paradigm,2,2023-05-21,1.52,C138,South Africa,3.04
INV1552,P998,Streamlined executive projection,35,2023-05-21,30.54,C162,Ghana,1068.8999999999999
INV1194,P645,Virtual empowering ability,9,2023-05-21,38.39,C193,Ghana,345.51
INV1051,P589,User-friendly client-server architecture,20,2023-05-24,79.63,C120,Tanzania,1592.6
INV1061,P670,Self-enabling 24hour parallelism,36,2023-05-24,72.44,C129,Tanzania,2607.84
INV1474,P741,Polarized actuating frame,45,2023-05-24,7.09,C152,Ghana,319.05
INV1744,P609,Cross-group impactful help-desk,28,2023-05-25,70.83,C114,Morocco,1983.24
INV1362,P442,User-centric asymmetric pricing structure,35,2023-05-26,79.74,C114,South Africa,2790.8999999999996
INV1636,P594,Organized fresh-thinking definition,23,2023-05-26,13.3,C134,Kenya,305.90000000000003
INV1677,P880,Quality-focused mobile toolset,39,2023-05-26,21.15,C186,Nigeria,824.8499999999999
INV1026,P933,Quality-focused hybrid firmware,22,2023-05-27,21.3,C128,Ghana,468.6
INV1955,P584,Distributed user-facing installation,18,2023-05-31,36.93,C127,Kenya,664.74
INV1673,P767,Seamless 5thgeneration service-desk,6,2023-06-01,9.07,C106,Kenya,54.42
INV1448,P274,Triple-buffered 4thgeneration benchmark,47,2023-06-01,46.87,C177,Tanzania,2202.89
INV1973,P323,Face-to-face coherent hub,25,2023-06-01,12.86,C155,Egypt,321.5
INV1535,P765,Open-source system-worthy matrix,43,2023-06-02,45.15,C173,Uganda,1941.45
INV1263,P405,Visionary asymmetric Local Area Network,40,2023-06-03,51.73,C173,Egypt,2069.2
INV1333,P1082,Quality-focused national toolset,22,2023-06-04,80.94,C128,Kenya,1780.6799999999998
INV1911,P253,Focused 24hour secured line,26,2023-06-04,47.82,C109,South Africa,1243.32
INV1040,P363,Realigned mobile productivity,21,2023-06-05,45.97,C131,Ghana,965.37
INV1148,P751,Centralized object-oriented Local Area Network,26,2023-06-06,17.39,C126,Tanzania,452.14
INV1859,P424,Devolved secondary projection,30,2023-06-07,48.44,C179,Ghana,1453.1999999999998
INV1157,P341,Decentralized user-facing product,37,2023-06-09,21.35,C105,Ghana,789.95
INV1416,P1082,Up-sized fresh-thinking encryption,46,2023-06-09,95.69,C142,South Africa,4401.74
INV1834,P988,Operative secondary success,17,2023-06-10,76.18,C112,Nigeria,1295.0600000000002
INV1695,P821,Extended multi-state migration,13,2023-06-11,65.85,C151,Ethiopia,856.05
INV1240,P949,Upgradable fresh-thinking artificial intelligence,11,2023-06-11,87.77,C133,Egypt,965.4699999999999
INV1435,P885,Grass-roots regional functionalities,43,2023-06-11,95.77,C119,Morocco,4118.11
INV1598,P428,Intuitive executive workforce,17,2023-06-13,59.44,C131,Egypt,1010.48
INV1815,P354,Distributed foreground collaboration,1,2023-06-14,87.91,C183,Morocco,87.91
INV1799,P733,Down-sized bandwidth-monitored customer loyalty,3,2023-06-16,58.14,C123,South Africa,174.42000000000002
INV1197,P203,Cross-platform human-resource structure,42,2023-06-17,30.11,C113,South Africa,1264.62
INV1418,P613,Enterprise-wide optimal knowledgebase,14,2023-06-18,26.64,C116,Morocco,372.96000000000004
INV1830,P411,Exclusive bottom-line encryption,44,2023-06-18,2.45,C105,Tanzania,107.80000000000001
INV1033,P803,Function-based analyzing standardization,16,2023-06-18,77.01,C170,Uganda,1232.16
INV1206,P308,Total empowering function,49,2023-06-20,8.47,C192,Nigeria,415.03000000000003
INV1238,P280,Ergonomic asynchronous middleware,6,2023-06-20,84.96,C155,Egypt,509.76
INV1780,P936,Re-engineered attitude-oriented algorithm,25,2023-06-20,16.46,C153,South Africa,411.5
INV1960,P806,Persevering global extranet,37,2023-06-21,9.79,C192,Ghana,362.22999999999996
INV1751,P1081,Self-enabling disintermediate architecture,33,2023-06-21,13.17,C104,Uganda,434.61
INV1514,P989,Innovative analyzing pricing structure,19,2023-06-22,13.72,C110,Morocco,260.68
INV1875,P837,Synergized non-volatile methodology,13,2023-06-24,86.08,C107,Ghana,1119.04
INV1812,P753,Operative responsive capacity,45,2023-06-24,92.64,C180,Ethiopia,4168.8
INV1526,P314,Virtual client-server algorithm,32,2023-06-26,17.47,C156,Tanzania,559.04
INV1117,P901,Front-line reciprocal utilization,7,2023-06-26,60.25,C124,Ethiopia,421.75
INV1959,P277,Programmable 3rdgeneration standardization,25,2023-06-27,58.47,C129,South Africa,1461.75
INV1619,P1098,Programmable executive benchmark,16,2023-06-27,35.26,C171,Tanzania,564.16
INV1460,P557,Persevering didactic leverage,26,2023-06-28,4.51,C118,South Africa,117.25999999999999
INV1703,P723,Synchronized systematic groupware,45,2023-06-28,77.82,C129,Egypt,3501.8999999999996
INV1190,P856,Re-engineered optimal focus group,39,2023-06-29,80.18,C163,Tanzania,3127.0200000000004
INV1716,P543,Ergonomic scalable open architecture,18,2023-06-29,66.6,C188,Ghana,1198.8
INV1645,P1025,Advanced tertiary strategy,44,2023-06-29,78.56,C182,Tanzania,3456.6400000000003
INV1620,P467,Reverse-engineered static protocol,5,2023-06-30,77.8,C142,Ghana,389.0
INV1723,P430,Down-sized tertiary migration,1,2023-07-01,59.25,C140,South Africa,59.25
INV1665,P719,Virtual static concept,1,2023-07-01,43.93,C107,South Africa,43.93
INV1264,P930,Switchable national projection,1,2023-07-03,74.43,C141,Morocco,74.43
INV1292,P1080,Future-proofed motivating interface,3,2023-07-03,41.03,C191,Uganda,123.09
INV1580,P1006,Secured motivating middleware,48,2023-07-04,45.92,C162,Ghana,2204.16
INV1733,P986,Customer-focused context-sensitive flexibility,38,2023-07-06,15.43,C169,Ethiopia,586.34
INV1894,P416,Horizontal attitude-oriented Graphic Interface,27,2023-07-09,18.3,C137,Kenya,494.1
INV1530,P758,Mandatory radical artificial intelligence,12,2023-07-11,6.73,C113,Uganda,80.76
INV1899,P588,Monitored bandwidth-monitored structure,21,2023-07-11,26.31,C198,Ghana,552.51
INV1638,P394,Function-based heuristic system engine,43,2023-07-12,59.88,C152,Uganda,2574.84
INV1085,P1087,Implemented transitional flexibility,16,2023-07-13,7.6,C108,South Africa,121.6
INV1839,P983,Progressive heuristic extranet,37,2023-07-14,91.51,C125,Ghana,3385.8700000000003
INV1963,P842,Enterprise-wide background utilization,39,2023-07-17,75.73,C186,South Africa,2953.4700000000003
INV1326,P861,Synchronized dynamic benchmark,7,2023-07-20,8.52,C124,Ghana,59.64
INV1482,P1099,Business-focused background parallelism,12,2023-07-22,73.66,C146,Nigeria,883.92
INV1498,P849,Devolved uniform encoding,26,2023-07-22,1.51,C200,Rwanda,39.26
INV1554,P1095,Exclusive systemic instruction set,17,2023-07-24,77.51,C103,Rwanda,1317.67
INV1871,P369,Visionary transitional software,5,2023-07-24,97.7,C147,Nigeria,488.5
INV1312,P394,Fully-configurable 6thgeneration installation,18,2023-07-25,54.44,C181,Tanzania,979.92
INV1660,P879,Organic contextually-based emulation,38,2023-07-26,61.96,C164,Kenya,2354.48
INV1970,P900,Secured radical software,17,2023-07-26,98.14,C132,Morocco,1668.38
INV1410,P1071,Front-line bandwidth-monitored paradigm,7,2023-07-27,28.45,C189,Nigeria,199.15
INV1155,P570,Optional 5thgeneration open system,4,2023-07-28,38.55,C168,Ghana,154.2
INV1081,P496,Intuitive attitude-oriented core,14,2023-07-30,58.17,C195,Ethiopia,814.38
INV1838,P1077,Down-sized full-range definition,15,2023-07-30,84.87,C152,Tanzania,1273.0500000000002
INV1356,P753,Universal optimizing monitoring,44,2023-07-30,31.97,C158,Tanzania,1406.6799999999998
INV1874,P330,Distributed modular installation,2,2023-07-31,13.2,C182,Ethiopia,26.4
INV1427,P629,Proactive neutral data-warehouse,22,2023-08-01,40.76,C196,South Africa,896.7199999999999
INV1765,P1068,Customizable coherent access,2,2023-08-03,32.99,C145,Kenya,65.98
INV1961,P907,Digitized 24hour system engine,28,2023-08-05,96.2,C150,Ghana,2693.6
INV1037,P206,Enterprise-wide holistic contingency,3,2023-08-07,32.74,C110,Nigeria,98.22
INV1528,P907,Secured analyzing conglomeration,20,2023-08-08,71.15,C157,Egypt,1423.0
INV1444,P507,Balanced mobile project,6,2023-08-09,52.01,C125,South Africa,312.06
INV1127,P523,Adaptive transitional alliance,35,2023-08-09,61.88,C143,Kenya,2165.8
INV1047,P981,Optional foreground success,50,2023-08-11,1.27,C171,South Africa,63.5
INV1611,P721,Object-based static benchmark,12,2023-08-13,72.7,C108,South Africa,872.4000000000001
INV1652,P401,Synchronized well-modulated strategy,42,2023-08-13,48.61,C118,Kenya,2041.62
INV1584,P1093,Operative foreground attitude,39,2023-08-13,30.12,C149,Kenya,1174.68
INV1739,P399,Universal modular protocol,36,2023-08-15,38.56,C119,Egypt,1388.16
INV1480,P879,Triple-buffered system-worthy customer loyalty,29,2023-08-16,54.83,C187,Egypt,1590.07
INV1712,P727,Re-contextualized intangible productivity,36,2023-08-17,10.64,C129,Kenya,383.04
INV1293,P538,Implemented multi-tasking process improvement,20,2023-08-17,77.32,C105,Nigeria,1546.3999999999999
INV1275,P430,Polarized fault-tolerant structure,16,2023-08-18,53.44,C139,Kenya,855.04
INV1798,P996,Face-to-face explicit time-frame,38,2023-08-19,67.03,C195,Egypt,2547.14
INV1906,P283,Team-oriented local portal,6,2023-08-20,15.82,C108,South Africa,94.92
INV1924,P220,Assimilated next generation interface,30,2023-08-21,67.91,C195,Nigeria,2037.3
INV1249,P875,Right-sized intermediate portal,20,2023-08-22,83.23,C182,Ghana,1664.6000000000001
INV1006,P428,Assimilated 4thgeneration function,39,2023-08-23,9.7,C149,Uganda,378.29999999999995
INV1368,P1085,Synergized directional portal,46,2023-08-26,65.37,C126,Nigeria,3007.0200000000004
INV1650,P954,Progressive needs-based infrastructure,13,2023-08-27,60.15,C177,Nigeria,781.9499999999999
INV1338,P749,Multi-layered even-keeled challenge,45,2023-08-27,9.58,C161,Ghana,431.1
INV1597,P433,User-centric 4thgeneration Graphic Interface,30,2023-08-27,33.27,C101,Nigeria,998.1000000000001
INV1408,P720,Exclusive user-facing hardware,24,2023-08-28,71.84,C150,South Africa,1724.16
INV1938,P577,Optional dedicated architecture,26,2023-08-30,40.72,C139,Nigeria,1058.72
INV1621,P382,Streamlined motivating approach,35,2023-08-31,94.18,C112,Rwanda,3296.3
INV1393,P793,Progressive optimizing archive,2,2023-08-31,6.22,C111,Uganda,12.44
INV1358,P215,User-friendly bottom-line workforce,30,2023-09-01,73.37,C110,Ethiopia,2201.1000000000004
INV1748,P904,Fully-configurable incremental productivity,27,2023-09-01,54.45,C178,Ethiopia,1470.15
INV1851,P751,Function-based demand-driven core,30,2023-09-01,82.42,C199,South Africa,2472.6
INV1174,P590,Down-sized coherent synergy,28,2023-09-02,31.84,C195,Morocco,891.52
INV1094,P579,Up-sized uniform software,29,2023-09-03,50.05,C161,Morocco,1451.4499999999998
INV1098,P473,Innovative high-level website,25,2023-09-04,75.49,C146,Morocco,1887.2499999999998
INV1602,P608,Fundamental exuding orchestration,25,2023-09-04,47.0,C133,Egypt,1175.0
INV1319,P620,Devolved demand-driven forecast,4,2023-09-06,47.95,C164,Nigeria,191.8
INV1176,P679,Integrated object-oriented middleware,44,2023-09-08,28.48,C156,Nigeria,1253.1200000000001
INV1257,P633,Extended global encoding,7,2023-09-08,12.31,C160,Egypt,86.17
INV1540,P515,Grass-roots tertiary analyzer,33,2023-09-09,82.33,C122,Tanzania,2716.89
INV1332,P1019,Robust well-modulated matrices,22,2023-09-09,32.15,C166,Nigeria,707.3
INV1600,P875,Re-engineered eco-centric attitude,20,2023-09-11,98.45,C114,Ghana,1969.0
INV1062,P749,Inverse intangible utilization,50,2023-09-11,5.76,C111,Morocco,288.0
INV1277,P546,Universal 24/7 analyzer,48,2023-09-12,50.31,C172,Nigeria,2414.88
INV1451,P836,Seamless zero administration analyzer,16,2023-09-12,4.45,C187,South Africa,71.2
INV1066,P765,Up-sized object-oriented toolset,6,2023-09-12,80.15,C102,Ghana,480.90000000000003
INV1766,P324,Future-proofed directional product,10,2023-09-13,97.34,C129,Kenya,973.4000000000001
